text_display,video_source,text_emoji,text_clean,word_count,aspect_category,is_sarcastic,sentiment
Buktinya TIMNAS hancur tolong MAFIA di exco ganti semua yang terlibat dan ketua PSSI cepat diganti .Erik Tohir harus bertanggung jawab atas pemecatan STY .sekarang TIMNAS tak punya arah .,Youtube,Buktinya TIMNAS hancur tolong MAFIA di exco ganti semua yang terlibat dan ketua PSSI cepat diganti .Erik Tohir harus bertanggung jawab atas pemecatan STY .sekarang TIMNAS tak punya arah .,buktinya timnas hancur tolong mafia di exco ganti semua yang terlibat dan ketua pssi cepat diganti erik tohir harus bertanggung jawab atas pemecatan sty sekarang timnas tak punya arah,29,Coach_STY,0,Negative
PSSI bukan punya Erik tohir cs PSSI punya Rakyat Indonesia selama ini Rakyat udah diam di biarkan Erik tohir tambah semaunya,Youtube,PSSI bukan punya Erik tohir cs PSSI punya Rakyat Indonesia selama ini Rakyat udah diam di biarkan Erik tohir tambah semaunya,pssi bukan punya erik tohir cs pssi punya rakyat indonesia selama ini rakyat sudah diam di biarkan erik tohir tambah semaunya,21,Mgmt_ET,0,Negative
Arya Sinulingga orang pertama yg harus dibuang dari PSSI benalu,Youtube,Arya Sinulingga orang pertama yg harus dibuang dari PSSI benalu,arya sinulingga orang pertama yang harus dibuang dari pssi benalu,10,Mgmt_Arya,0,Negative
Patrik klupret terkenal nya main bola bukan pelatih bola,Youtube,Patrik klupret terkenal nya main bola bukan pelatih bola,patrik klupret terkenal nya main bola bukan pelatih bola,9,Player,0,Neutral
Pssi kena karma coach sty. Pelatih sekelas apapun yg pssi utk menggantikan sty tidak akan meraih hasil apa apa. Karna pssi punya otak bisnis,Youtube,Pssi kena karma coach sty. Pelatih sekelas apapun yg pssi utk menggantikan sty tidak akan meraih hasil apa apa. Karna pssi punya otak bisnis,pssi kena karma coach sty pelatih sekelas apapun yang pssi untuk menggantikan sty tidak akan meraih hasil apa apa karena pssi punya otak bisnis,24,Coach_STY,0,Negative
MAFIA DAPAT DUWIT LANGSUNG MAEN JUDI KASINO,Youtube,MAFIA DAPAT DUWIT LANGSUNG MAEN JUDI KASINO,mafia dapat duwit langsung main judi kasino,7,General,0,Negative
"Lebih baik STY kembali, fondasinya sudah ada tinggal jalan, emang PSSI dan Exco nya biang kegagalan, mafia, tukang judi",Youtube,"Lebih baik STY kembali, fondasinya sudah ada tinggal jalan, emang PSSI dan Exco nya biang kegagalan, mafia, tukang judi",lebih baik sty kembali fondasinya sudah ada tinggal jalan memang pssi dan exco nya biang kegagalan mafia tukang judi,19,Coach_STY,0,Negative
"Erik,Towel dan Justin adalah dalang kehancuran Timnas 🇲🇨🇲🇨🇲🇨🇲🇨",Youtube,"Erik,Towel dan Justin adalah dalang kehancuran Timnas bendera monako bendera monako bendera monako bendera monako",eriktowel dan justin adalah dalang kehancuran timnas bendera monako bendera monako bendera monako bendera monako,15,Player,0,Negative
"Pak PRESIDEN yth,, tolong pecat ketua umum PSSI,, ERIK TOHIR & jajarannya di bawah ERIK TOHIR,,, Indonesia gagal piala SEAGAMES di Thailand,2025,,,, rakyat Indonesia tetap mendukung pelatih STY,,,,",Youtube,"Pak PRESIDEN yth,, tolong pecat ketua umum PSSI,, ERIK TOHIR & jajarannya di bawah ERIK TOHIR,,, Indonesia gagal piala SEAGAMES di Thailand,2025,,,, rakyat Indonesia tetap mendukung pelatih STY,,,,",pak presiden yth tolong pecat ketua umum pssi erik tohir jajarannya di bawah erik tohir indonesia gagal piala seagames di thailand2025 rakyat indonesia tetap mendukung pelatih sty,27,Coach_STY,0,Negative
"Oh erik tohir, pemimpin kok pling plan, ngomongnya alus tapi kok gak tegak, wis wis angel angel.",Youtube,"Oh erik tohir, pemimpin kok pling plan, ngomongnya alus tapi kok gak tegak, wis wis angel angel.",oh erik tohir pemimpin kok paling plan mengomongnya alus tapi kok enggak tegak wis wis angel angel,17,Mgmt_ET,1,Negative
TOHIR. PEMBUNUH IMPIAN. INDONESIA. MASUK PIALA DUNIA,Youtube,TOHIR. PEMBUNUH IMPIAN. INDONESIA. MASUK PIALA DUNIA,tohir pembunuh impian indonesia masuk piala dunia,7,General,0,Negative
Legowo mundur' saja,Youtube,Legowo mundur' saja,legowo mundur saja,3,General,0,Neutral
"ERIK T MECAT STY SEMUA ITU ALASAN GK MASUK AKAL KALAU DI PIKIR ORANG DEWASA ,ALASAN SEMUA ALASAN SEPERTI ANAK TK",Youtube,"ERIK T MECAT STY SEMUA ITU ALASAN GK MASUK AKAL KALAU DI PIKIR ORANG DEWASA ,ALASAN SEMUA ALASAN SEPERTI ANAK TK",erik t mecat sty semua itu alasan enggak masuk akal kalau di pikir orang dewasa alasan semua alasan seperti anak tak,21,Coach_STY,0,Negative
Seharusnya yg berhak memilih pemain dan menentukan jadwal latihan dan cari lawan uji coba dan aturan di dalam tim itu pelatih..sekali lagi ingat hanya pelatih titik bukan ketua pssi . Pssi tugasnya itu cukup mendanai dan mendanai. Jangan sok sok tau tentang ruang ganti. Anjing! World cup gagal. Kurang sejengkal kaki.,Youtube,Seharusnya yg berhak memilih pemain dan menentukan jadwal latihan dan cari lawan uji coba dan aturan di dalam tim itu pelatih..sekali lagi ingat hanya pelatih titik bukan ketua pssi . Pssi tugasnya itu cukup mendanai dan mendanai. Jangan sok sok tau tentang ruang ganti. Anjing! World cup gagal. Kurang sejengkal kaki.,seharusnya yang berhak memilih pemain dan menentukan jadwal latihan dan cari lawan uji coba dan aturan di dalam tim itu pelatihsekali lagi ingat hanya pelatih titik bukan ketua pssi pssi tugasnya itu cukup mendanai dan mendanai jangan sok sok tau tentang ruang ganti anjing! world cup gagal kurang sejengkal kaki,50,Mgmt_General,0,Negative
"Ci Erik lihat aja waktu jadi mentri BUMN semua pada rugi, apalagi jadi ketum PSSI dipakai politik",Youtube,"Ci Erik lihat aja waktu jadi mentri BUMN semua pada rugi, apalagi jadi ketum PSSI dipakai politik",ci erik lihat saja waktu jadi mentri bumn semua pada rugi apalagi jadi ketum pssi dipakai politik,17,Mgmt_ET,0,Negative
Manusia yg rakus bung jauh jauh,Youtube,Manusia yg rakus bung jauh jauh,manusia yang rakus bung jauh jauh,6,Pundit,0,Negative
"mana nih pertannggung jawabannya pssi, pada tidak kelihatan orang2 pssi nya. kalau menang aja pada nongol",Youtube,"mana nih pertannggung jawabannya pssi, pada tidak kelihatan orang2 pssi nya. kalau menang aja pada nongol",mana nih pertannggung jawabannya pssi pada tidak kelihatan orang-orang pssi nya kalau menang saja pada nongol,16,Mgmt_General,0,Negative
"Kok baru tauu,,jalan satu2nya,,iya bubarkan PSSI sekarang dan ganti yg baru,,yg benar2 bisa bawa timnaske arahh yg lebih baik",Youtube,"Kok baru tauu,,jalan satu2nya,,iya bubarkan PSSI sekarang dan ganti yg baru,,yg benar2 bisa bawa timnaske arahh yg lebih baik",kok baru tauujalan satu2nyaiya bubarkan pssi sekarang dan ganti yang baruyg benar-benar bisa bawa timnaske arahh yang lebih baik,19,Mgmt_General,0,Negative
Tetap indra Sjafri pelatih terbaik di liga tarkam dan tak tergantikan,Youtube,Tetap indra Sjafri pelatih terbaik di liga tarkam dan tak tergantikan,tetap indra sjafri pelatih terbaik di liga tarkam dan tak tergantikan,11,Coach_Indra,1,Negative
percuma proyek natrulilasi terus menerus timnas di gadang gadang jadi macan asia. eh malah kebalik.,Youtube,percuma proyek natrulilasi terus menerus timnas di gadang gadang jadi macan asia. eh malah kebalik.,percuma proyek natrulilasi terus menerus timnas di gadang gadang jadi macan asia eh malah kebalik,15,Player,0,Negative
Mundurlah kmu erick...sdh dk pantas jdi ketum,Youtube,Mundurlah kmu erick...sdh dk pantas jdi ketum,mundurlah kamu ericksdh dk pantas jadi ketum,7,Mgmt_ET,0,Negative
"Klo boleh jujur, mending kehilangan erik tohir drpd kehilangan pelatih spt sty...",Youtube,"Klo boleh jujur, mending kehilangan erik tohir drpd kehilangan pelatih spt sty...",kalo boleh jujur mending kehilangan erik tohir daripada kehilangan pelatih seperti sty,12,Coach_STY,0,Negative
Karma dari STY lah...,Youtube,Karma dari STY lah...,karma dari sty lah,4,Coach_STY,0,Negative
Hasil nya nol besar omong kosong,Youtube,Hasil nya nol besar omong kosong,hasil nya nol besar omong kosong,6,General,0,Negative
"FEDERASI HARUS DIREVOLUSI DULU, SUPAYA SEPAKBOLA INDO KEMBALI KE JALURNYAA….!!!! BERSIHKAN FEDERASI DARI PEGARUH MAFIA BOLA, KRONI ET & PENGAMAT BOLA BUSUK….!!!!!
 
 #ErickOut
 #EvaluasiExco
 #SavePSSI",Youtube,"FEDERASI HARUS DIREVOLUSI DULU, SUPAYA SEPAKBOLA INDO KEMBALI KE JALURNYAA….!!!! BERSIHKAN FEDERASI DARI PEGARUH MAFIA BOLA, KRONI ET & PENGAMAT BOLA BUSUK….!!!!! #ErickOut #EvaluasiExco #SavePSSI",federasi harus direvolusi dulu supaya sepakbola indonesia kembali ke jalurnyaa! bersihkan federasi dari pegaruh mafia bola kroni et pengamat bola busuk! erickout evaluasiexco savepssi,24,Mgmt_ET,0,Negative
sty pergi timnas downgrade semua kembali ke setelan pabrik lagi 😂😂😂,Youtube,sty pergi timnas downgrade semua kembali ke setelan pabrik lagi lawak lawak lawak,sty pergi timnas downgrade semua kembali ke setelan pabrik lagi lawak lawak lawak,13,Coach_STY,1,Negative
Udah malas nonton timnas,Youtube,Udah malas nonton timnas,sudah malas menonton timnas,4,Player,0,Negative
"Yang bisa melengserkan ET itu seluruh rakyat Indo, kalau tidak Prabowi 150 Persen tdk akan terjadi, karna ET anak Emas Presiden mana bisa,, ayo kita DEMO ramai"" gruduk kantor PSSI tuntut ET out, kalau gak gitu masih berkeliaran MAFIA"" bola, terus kapan tim kita maju,akhirnya di buat malu negara tetangga, dasar koroptor,mafia, ber'arti yg Bodoh kita"" semua masih mau datang dukung ke stadion,",Youtube,"Yang bisa melengserkan ET itu seluruh rakyat Indo, kalau tidak Prabowi 150 Persen tdk akan terjadi, karna ET anak Emas Presiden mana bisa,, ayo kita DEMO ramai"" gruduk kantor PSSI tuntut ET out, kalau gak gitu masih berkeliaran MAFIA"" bola, terus kapan tim kita maju,akhirnya di buat malu negara tetangga, dasar koroptor,mafia, ber'arti yg Bodoh kita"" semua masih mau datang dukung ke stadion,",yang bisa melengserkan et itu seluruh rakyat indonesia kalau tidak prabowi 150 persen tidak akan terjadi karena et anak emas presiden mana bisa ayo kita demo ramai gruduk kantor pssi tuntut et out kalau enggak begitu masih berkeliaran mafia bola terus kapan tim kita majuakhirnya di buat malu negara tetangga dasar koroptormafia berarti yang bodoh kita semua masih mau datang dukung ke stadion,63,Mgmt_ET,0,Negative
Erik tohir kepala batu out out,Youtube,Erik tohir kepala batu out out,erik tohir kepala batu out out,6,Mgmt_ET,0,Negative
#ET wajib out!!!!,Youtube,#ET wajib out!!!!,et wajib out!,3,Mgmt_ET,0,Negative
PENGURUS PSSI YANG SPORTIF YANG JUJUR ADALAH BPK SUMARJI,Youtube,PENGURUS PSSI YANG SPORTIF YANG JUJUR ADALAH BPK SUMARJI,pengurus pssi yang sportif yang jujur adalah bpk sumarji,9,Mgmt_General,0,Positive
Pantas elkan dah ga mau lagi bela timnas rupanya elkan dah tau bobroknya pederasi sepak bola indonesia yerutama exco arya sanusi erik dan kroco kroconya meteka kambing hitamkan elkan meyebar luaskan bahwa elkan ada masalah sama sty pdahal elkan tdak ada masalah sama sty tpi dah muak sama exco,Youtube,Pantas elkan dah ga mau lagi bela timnas rupanya elkan dah tau bobroknya pederasi sepak bola indonesia yerutama exco arya sanusi erik dan kroco kroconya meteka kambing hitamkan elkan meyebar luaskan bahwa elkan ada masalah sama sty pdahal elkan tdak ada masalah sama sty tpi dah muak sama exco,pantas elkan deh enggak mau lagi bela timnas rupanya elkan deh tau bobroknya pederasi sepak bola indonesia yerutama exco arya sanusi erik dan kroco kroconya meteka kambing hitamkan elkan meyebar luaskan bahwa elkan ada masalah sama sty padahal elkan tidak ada masalah sama sty tapi deh muak sama exco,49,Coach_STY,0,Negative
"Tragedi Kanjuruhan....Iwan bule mengundurkan diri...
 kehancuran timnas... apa kah PSSI siap mundur?????🤔🤔",Youtube,Tragedi Kanjuruhan....Iwan bule mengundurkan diri... kehancuran timnas... apa kah PSSI siap mundur????? wajah berpikir wajah berpikir,tragedi kanjuruhaniwan bule mengundurkan diri kehancuran timnas apa kah pssi siap mundur? wajah berpikir wajah berpikir,16,Mgmt_General,0,Negative
Drama PSSI sama seperti sinetron Indonesia ga bermutu.,Youtube,Drama PSSI sama seperti sinetron Indonesia ga bermutu.,drama pssi sama seperti sinetron indonesia enggak bermutu,8,Mgmt_General,0,Negative
Masih ajah kalau ada yang pintar di indonesia pasti di tendang nga heran si itu kerjaan antek antek kompeni 😅,Youtube,Masih ajah kalau ada yang pintar di indonesia pasti di tendang nga heran si itu kerjaan antek antek kompeni hedeh,masih saja kalau ada yang pintar di indonesia pasti di tendang enggak heran sih itu pekerjaan antek antek kompeni hedeh,20,General,0,Negative
klepet tu bukan nama besar brayy,Youtube,klepet tu bukan nama besar brayy,klepet itu bukan nama besar brayy,6,General,0,Negative
Ini semua permainan Eric Tohir dan ESCO PSSI dg mafia sepak bola..... Eric Tohir punya target masuk pildun 2030 bersamaan Eric Tohir akan mencalonkan RI2,Youtube,Ini semua permainan Eric Tohir dan ESCO PSSI dg mafia sepak bola..... Eric Tohir punya target masuk pildun 2030 bersamaan Eric Tohir akan mencalonkan RI2,ini semua permainan eric tohir dan esco pssi dengan mafia sepak bola eric tohir punya target masuk pildun 2030 bersamaan eric tohir akan mencalonkan ri2,25,Mgmt_General,0,Negative
Siapapun PSSI ( Pengurus ) kalau merasa Gagal utk Timnas ya mundur saja segera masih banyak kok oknum oknum bola berseliweran didalam Federasi ( PSSI ) kalau tdk ya sepak bola Indonesia untuk Perjudian,Youtube,Siapapun PSSI ( Pengurus ) kalau merasa Gagal utk Timnas ya mundur saja segera masih banyak kok oknum oknum bola berseliweran didalam Federasi ( PSSI ) kalau tdk ya sepak bola Indonesia untuk Perjudian,siapapun pssi pengurus kalau merasa gagal untuk timnas ya mundur saja segera masih banyak kok oknum oknum bola berseliweran didalam federasi pssi kalau tidak ya sepak bola indonesia untuk perjudian,30,Mgmt_General,0,Negative
"biang kerok kegagalan timnas adlh et, Arya towel,yg SDH menghancurkan hrpn pmain dn rkyt indo tk main k pildun,dgn menyingkirkan sty",Youtube,"biang kerok kegagalan timnas adlh et, Arya towel,yg SDH menghancurkan hrpn pmain dn rkyt indo tk main k pildun,dgn menyingkirkan sty",biang kerok kegagalan timnas adalah et arya towelyg sudah menghancurkan hrpn pmain dan rkyt indonesia tak main ke pildundgn menyingkirkan sty,21,Coach_STY,0,Negative
"Pak presiden ambil tindakan ,PSSI udah hancur di bawah PK ketum Erik Tohir ,",Youtube,"Pak presiden ambil tindakan ,PSSI udah hancur di bawah PK ketum Erik Tohir ,",pak presiden ambil tindakan pssi sudah hancur di bawah pakai ketum erik tohir,13,Mgmt_ET,0,Negative
Erick Tohar pingin dominan 😂😂😂 parah,Youtube,Erick Tohar pingin dominan lawak lawak lawak parah,erick tohar pengin dominan lawak lawak lawak parah,8,Mgmt_ET,1,Negative
Eric..... Eric....... Mana suaramu...... Mana pelatih Eropa yg kau banggakan... Mana mungkin pelatih kelas dunia meresponmu... Mereka tak kan mau jadi korban karir karena politikmu.... KASIHAN DEH PSSI JADI BAHAN CELAAN DUNIA....,Youtube,Eric..... Eric....... Mana suaramu...... Mana pelatih Eropa yg kau banggakan... Mana mungkin pelatih kelas dunia meresponmu... Mereka tak kan mau jadi korban karir karena politikmu.... KASIHAN DEH PSSI JADI BAHAN CELAAN DUNIA....,eric eric mana suaramu mana pelatih eropa yang kau banggakan mana mungkin pelatih kelas dunia meresponmu mereka tak kan mau jadi korban karir karena politikmu kasihan deh pssi jadi bahan celaan dunia,32,Mgmt_General,0,Negative
"Erik Tohir harusnya malu dan harus mundur kalau tau malu, dengan kegagalan terus menerus begini. Ingat hanya sty yg kerja dengan tulus utk mengangkat sepak bola indonesia. Erik ngga bisa bertahan dgn prestasi ini, tau malu dong.",Youtube,"Erik Tohir harusnya malu dan harus mundur kalau tau malu, dengan kegagalan terus menerus begini. Ingat hanya sty yg kerja dengan tulus utk mengangkat sepak bola indonesia. Erik ngga bisa bertahan dgn prestasi ini, tau malu dong.",erik tohir harusnya malu dan harus mundur kalau tau malu dengan kegagalan terus menerus begini ingat hanya sty yang kerja dengan tulus untuk mengangkat sepak bola indonesia erik enggak bisa bertahan dengan prestasi ini tau malu dong,37,Coach_STY,0,Negative
Pssi buang2 duit hasilnya minus,Youtube,Pssi buang2 duit hasilnya minus,pssi buang2 duit hasilnya minus,5,Mgmt_General,0,Negative
Kebayangkan bacot loo Erik Thohir. Lebih baik loo mundur Ajee secara terhormat. Dasar egoissssssss,Youtube,Kebayangkan bacot loo Erik Thohir. Lebih baik loo mundur Ajee secara terhormat. Dasar egoissssssss,kebayangkan bacot lo erik thohir lebih baik lo mundur ajee secara terhormat dasar egois,14,Mgmt_ET,0,Negative
Knp pa Erik jdi mau di bodohin .....knp mau balik lgi ke setelan pabrik ....klo SDH maju knp jln mundur lgi.....pilih pelatih yg karakter sprti sty ...tegas.....kerja keras TDK mudah pilinpemain lokal preet .....towel cs koar2 giliran lokal mah diam......berarti jln lgi ni mafia pemain titipan,Youtube,Knp pa Erik jdi mau di bodohin .....knp mau balik lgi ke setelan pabrik ....klo SDH maju knp jln mundur lgi.....pilih pelatih yg karakter sprti sty ...tegas.....kerja keras TDK mudah pilinpemain lokal preet .....towel cs koar2 giliran lokal mah diam......berarti jln lgi ni mafia pemain titipan,kenapa apa erik jadi mau di bodohin kenapa mau balik lagi ke setelan pabrik kalo sudah maju kenapa jalan mundur lgipilih pelatih yang karakter seperti sty tegaskerja keras tidak mudah pilinpemain lokal preet towel cs koar2 giliran lokal mah diamberarti jalan lagi nih mafia pemain titipan,46,Coach_STY,0,Negative
"Menpora Erik T hrs dipecat,pengurus PSSI bubarkan. Memalukan indonesia negara besar,kalah dr negara kecil di asia tenggara.",Youtube,"Menpora Erik T hrs dipecat,pengurus PSSI bubarkan. Memalukan indonesia negara besar,kalah dr negara kecil di asia tenggara.",menpora erik t harus dipecatpengurus pssi bubarkan memalukan indonesia negara besarkalah dari negara kecil di asia tenggara,17,Mgmt_ET,0,Negative
"*PSSI*Milik rakyat tapi tidak mau mendengarkan rakyat.
 *ANEH*
 Apa sudah dibeli sama *ET*",Youtube,*PSSI*Milik rakyat tapi tidak mau mendengarkan rakyat. *ANEH* Apa sudah dibeli sama *ET*,pssimilik rakyat tapi tidak mau mendengarkan rakyat aneh apa sudah dibeli sama et,13,Mgmt_ET,0,Negative
Erik tohir ketakutan jika namanya kalah tenar dg sty......🤣🤣🤣🤣🤣kocak lu rik erik,Youtube,Erik tohir ketakutan jika namanya kalah tenar dg sty...... ngakak ngakak ngakak ngakak ngakak kocak lu rik erik,erik tohir ketakutan jika namanya kalah tenar dengan sty mengakak mengakak mengakak mengakak mengakak kocak lu rik erik,18,Coach_STY,1,Negative
Setuju sekali Erick out,Youtube,Setuju sekali Erick out,setuju sekali erick out,4,Mgmt_ET,0,Negative
dah pssi pulngkan sty. esko pssi bubarin aza,Youtube,dah pssi pulngkan sty. esko pssi bubarin aza,deh pssi pulngkan sty esko pssi bubarin saja,8,Coach_STY,0,Negative
"Sty kembali
 Ratu tisa ketua pssi",Youtube,Sty kembali Ratu tisa ketua pssi,sty kembali ratu tisa ketua pssi,6,Coach_STY,0,Neutral
"PSSI kebanyakan drama, terutama pak ketum",Youtube,"PSSI kebanyakan drama, terutama pak ketum",pssi kebanyakan drama terutama pak ketum,6,Mgmt_ET,0,Negative
"Yang paling sukses adalah tewel dan rombongannya, AS dan rombongannya, sehingga PSSI kembali ke setelan pabrik hancur lebur 😅😅😅",Youtube,"Yang paling sukses adalah tewel dan rombongannya, AS dan rombongannya, sehingga PSSI kembali ke setelan pabrik hancur lebur hedeh hedeh hedeh",yang paling sukses adalah tewel dan rombongannya as dan rombongannya sehingga pssi kembali ke setelan pabrik hancur lebur hedeh hedeh hedeh,21,Mgmt_Arya,0,Negative
Kplatih trbaik buat Sinulingga karna bisa di setir buat setoran ya kan yg pnting kantong penuh buat pribadi bodo amat publik mau nangis mau apa 😂😂😂😂😂,Youtube,Kplatih trbaik buat Sinulingga karna bisa di setir buat setoran ya kan yg pnting kantong penuh buat pribadi bodo amat publik mau nangis mau apa lawak lawak lawak lawak lawak,kplatih terbaik buat sinulingga karena bisa di setir buat setoran ya kan yang penting kantong penuh buat pribadi bodo amat publik mau menangis mau apa lawak lawak lawak lawak lawak,30,Mgmt_Arya,1,Negative
"Siapa sebenarnya kini yg bajingan kl orang esco ada di judol STY pemain orang yg tulus jujur tp ditnah seenak perutnya ternyata rakyat lebih pinter dan jeli dari pada orang"" di pssi apalagi esco",Youtube,"Siapa sebenarnya kini yg bajingan kl orang esco ada di judol STY pemain orang yg tulus jujur tp ditnah seenak perutnya ternyata rakyat lebih pinter dan jeli dari pada orang"" di pssi apalagi esco",siapa sebenarnya kini yang bajingan kalo orang esco ada di judol sty pemain orang yang tulus jujur tapi ditnah seenak perutnya ternyata rakyat lebih pintar dan jeli dari pada orang di pssi apalagi esco,34,Coach_STY,0,Negative
"Jelas kecewa dan marah besar, andai aq seorang diaspora yang dengan setulus hati dan segenap jiwa raga aq korbankan segalanya demi perjuangan ini untuk bangsa dan negara leluhur q, namun kenyataanya di dalam kepengurusan PSSI isinya adalah orang"" yang berhati busuk, pengkhianat dan mafia bola (ERICK THOHIR, ARYA SINULINGGA & YUNUS NUSI)...PAYAH!!!!",Youtube,"Jelas kecewa dan marah besar, andai aq seorang diaspora yang dengan setulus hati dan segenap jiwa raga aq korbankan segalanya demi perjuangan ini untuk bangsa dan negara leluhur q, namun kenyataanya di dalam kepengurusan PSSI isinya adalah orang"" yang berhati busuk, pengkhianat dan mafia bola (ERICK THOHIR, ARYA SINULINGGA & YUNUS NUSI)...PAYAH!!!!",jelas kecewa dan marah besar andai aku seorang diaspora yang dengan setulus hati dan segenap jiwa raga aku korbankan segalanya demi perjuangan ini untuk bangsa dan negara leluhur ku namun kenyataanya di dalam kepengurusan pssi isinya adalah orang yang berhati busuk pengkhianat dan mafia bola erick thohir arya sinulingga yunus nusipayah!,51,Mgmt_ET,0,Negative
Erik harus MUNDUR.. secepatnya kenapa Erik ga mau mundur ada apa .. PSSI di jadikan lahan basah.. PSSI bukan lahan bisnis.. bisa RUSAK,Youtube,Erik harus MUNDUR.. secepatnya kenapa Erik ga mau mundur ada apa .. PSSI di jadikan lahan basah.. PSSI bukan lahan bisnis.. bisa RUSAK,erik harus mundur secepatnya kenapa erik enggak mau mundur ada apa pssi di jadikan lahan basah pssi bukan lahan bisnis bisa rusak,22,Mgmt_ET,0,Negative
Gk ada niat indonesia maju dari dulu di buat judi para mafia2 Gus Dur sdh ngomong bisa msju klo PSSI nya bener nah artinya perkataan Gus DUR PSSI nya selama ini gk becus,Youtube,Gk ada niat indonesia maju dari dulu di buat judi para mafia2 Gus Dur sdh ngomong bisa msju klo PSSI nya bener nah artinya perkataan Gus DUR PSSI nya selama ini gk becus,enggak ada niat indonesia maju dari dulu di buat judi para mafia2 gus dur sudah mengomong bisa msju kalo pssi nya benar nah artinya perkataan gus dur pssi nya selama ini enggak becus,33,Mgmt_General,0,Negative
"Sty ga akan melatih timnas indonesia selagi ada Erik Tohir dan kroni""nya,dia pernah berkata itu dan merupakan salah satu syarat KLO sty mau melatih timnas indonesia",Youtube,"Sty ga akan melatih timnas indonesia selagi ada Erik Tohir dan kroni""nya,dia pernah berkata itu dan merupakan salah satu syarat KLO sty mau melatih timnas indonesia",sty enggak akan melatih timnas indonesia selagi ada erik tohir dan kroninyadia pernah berkata itu dan merupakan salah satu syarat kalo sty mau melatih timnas indonesia,26,Coach_STY,0,Neutral
"Sudahlah ET beserta anteknya jangan bnyk jualan omongan yg ga jelas ,anda plin plan ,anda kira PSSI milik anda",Youtube,"Sudahlah ET beserta anteknya jangan bnyk jualan omongan yg ga jelas ,anda plin plan ,anda kira PSSI milik anda",sudahlah et beserta anteknya jangan banyak jualan omongan yang enggak jelas anda plin plan anda kira pssi milik anda,19,Mgmt_ET,0,Negative
AmBiSi Januari 2025 berSELIMUTkan AuRa keGELAPan..,Youtube,AmBiSi Januari 2025 berSELIMUTkan AuRa keGELAPan..,ambisi januari 2025 berselimutkan aura kegelapan,6,General,0,Negative
Pssi terlalu banyak drama,Youtube,Pssi terlalu banyak drama,pssi terlalu banyak drama,4,Mgmt_General,0,Negative
Indra udah pelatih masalah.kurang cocok menjadi pelatih TIMNAS.,Youtube,Indra udah pelatih masalah.kurang cocok menjadi pelatih TIMNAS.,indra sudah pelatih masalahkurang cocok menjadi pelatih timnas,8,Coach_Indra,0,Negative
Mohon maaf semua pen Garuda itu yg membuat kaco gy nama singolingga buang orang yg membuat kacom diyamebuwat kaco dia tidak senang sama stye komentar dari Lombok N T B timakasih,Youtube,Mohon maaf semua pen Garuda itu yg membuat kaco gy nama singolingga buang orang yg membuat kacom diyamebuwat kaco dia tidak senang sama stye komentar dari Lombok N T B timakasih,mohon maaf semua pengin garuda itu yang membuat kaco gy nama singolingga buang orang yang membuat kacom diyamebuwat kaco dia tidak senang sama stye komentar dari lombok n t b timakasih,31,Player,0,Negative
"LAGU LAMA YANG MASIH DIPELIHARA NEGARA !!!! BUAT KEPENTINGAN PARA PEJABAT, POLITIK, DAN MESIN ATM. !!!!😅😂😅😂😅😂",Youtube,"LAGU LAMA YANG MASIH DIPELIHARA NEGARA !!!! BUAT KEPENTINGAN PARA PEJABAT, POLITIK, DAN MESIN ATM. !!!! hedeh lawak hedeh lawak hedeh lawak",lagu lama yang masih dipelihara negara ! buat kepentingan para pejabat politik dan mesin atm ! hedeh lawak hedeh lawak hedeh lawak,22,General,1,Negative
Pro pak presiden praboea ingat pak itu pak iwan bule dan sty akkan. Lebih hancur pssi liat ajja sty. Pasti lebih angkuh dan akan pasang pemain asal2 jadi sangat riskam pilih iwan bule dan. Sty padti lebih hancur,Youtube,Pro pak presiden praboea ingat pak itu pak iwan bule dan sty akkan. Lebih hancur pssi liat ajja sty. Pasti lebih angkuh dan akan pasang pemain asal2 jadi sangat riskam pilih iwan bule dan. Sty padti lebih hancur,pro pak presiden praboea ingat pak itu pak iwan bule dan sty akkan lebih hancur pssi lihat saja sty pasti lebih angkuh dan akan pasang pemain asal2 jadi sangat riskam pilih iwan bule dan sty padti lebih hancur,38,Coach_STY,0,Negative
"Kita mau bicara STY tiap hari ribuan kali jika satu, Erik masih nongkrong di PSSI, jelas gak mungkin. Kedua jika tidak ada memo dari presiden bahwa Erik harus mundur dan fokus sebagai menpora. Kalau gak, kita akan hanya menghadapi orang rai gedek, egois dan sombong gk karuan. Berarti ET mendatangkan pemain keturunan itu bkn ikhlas semata untuk prestasi sepak bola, tapi untuk membangun citra dirinya.",Youtube,"Kita mau bicara STY tiap hari ribuan kali jika satu, Erik masih nongkrong di PSSI, jelas gak mungkin. Kedua jika tidak ada memo dari presiden bahwa Erik harus mundur dan fokus sebagai menpora. Kalau gak, kita akan hanya menghadapi orang rai gedek, egois dan sombong gk karuan. Berarti ET mendatangkan pemain keturunan itu bkn ikhlas semata untuk prestasi sepak bola, tapi untuk membangun citra dirinya.",kita mau bicara sty tiap hari ribuan kali jika satu erik masih nongkrong di pssi jelas enggak mungkin kedua jika tidak ada memo dari presiden bahwa erik harus mundur dan fokus sebagai menpora kalau enggak kita akan hanya menghadapi orang rai gedek egois dan sombong enggak karuan berarti et mendatangkan pemain keturunan itu bukan ikhlas semata untuk prestasi sepak bola tapi untuk membangun citra dirinya,65,Coach_STY,0,Negative
